"y4_hhid","qx_type","interview_status","PID","id_code","hh_c02","hh_c03","hh_c04","hh_c05_1","hh_c05_2a","hh_c05_2b","hh_c05_2_oth","hh_c05_3","hh_c05_4a","hh_c05_4b","hh_c05_4_oth","hh_c05_5","hh_c06","hh_c07a","hh_c07b","hh_c07_oth","hh_c08","hh_c09","hh_c10","hh_c11","hh_c12","hh_c13","hh_c14","hh_c14_oth","hh_c15","hh_c16","hh_c17","hh_c18","hh_c18_oth","hh_c19a","hh_c19b","hh_c20","hh_c21","hh_c21_oth","hh_c22a","hh_c22b","hh_c22c","hh_c22d","hh_c22e","hh_c22f","hh_c22g","hh_c22h","hh_c22i","hh_c22j","hh_c22k","hh_c22l","hh_c23filtera","hh_c23a_1","hh_c23a_2","hh_c23a_3","hh_c23filter","hh_c23b_1","hh_c23b_2","hh_c24","hh_c25"
"0412-002",1,1,"3033100109",9,,2,2,2,,,,2,,,,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0412-002",1,1,"3033100110",10,,2,2,2,,,,2,,,,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0412-002",1,1,"4041200211",11,,1,,1,1,,,1,1,,,1,1,,,,7,1,7,2,,2,7,,1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0412-003",1,1,"095303",1,,1,,2,,,,2,,,,2,1,,,,2,1,7,2,,2,7,,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0412-003",1,1,"4041200302",2,,2,3,2,,,,2,,,,2,1,,,,1,1,6,2,,2,7,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0412-003",1,1,"4041200303",3,"X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0413-002",2,2,"095400105",5,,2,1,2,,,,2,,,,2,1,,,,1,1,6,2,,1,,,,11,1,1,,10,1,2,,,0,0,200,2000,0,0,0,0,0,0,300,2500,1,1,,,,,,2,
"0413-002",2,2,"095401",1,,1,,1,1,,,1,1,,,1,1,,,,4,1,7,2,,2,8,,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0413-002",2,2,"095402",3,,1,,1,1,,,1,1,,,1,1,,,,3,1,6,1,3,1,,,,11,1,1,,10,1,2,,,0,0,1100,1600,0,0,0,0,1800,0,0,4500,1,1,,,,,,2,
"0414-001",1,1,"095501",1,,1,,1,1,,,1,1,,,1,1,,,,3,1,7,2,,2,2,,1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0414-001",1,1,"095502",2,,2,1,2,,,,2,,,,1,1,,,,1,1,6,2,,2,7,,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0414-001",1,1,"095506",4,,2,1,1,1,,,1,1,,,1,1,,,,7,1,10,1,7,1,,,,11,1,1,,30,1,1,1,,0,0,1500,0,0,0,0,0,900,0,0,2400,1,1,,,,,,2,
"0414-001",1,1,"095507",5,,2,1,1,1,,,1,1,,,1,1,,,,5,1,9,1,5,1,,,,11,1,1,,30,1,1,2,,0,0,500,1700,0,0,0,0,500,0,0,2700,1,1,,,,,,2,
"0414-001",1,1,"095508",6,,2,2,1,1,,,1,1,,,1,1,,,,3,1,9,1,3,1,,,,11,1,1,,30,1,2,,,0,0,500,1700,0,0,0,0,0,0,0,2200,1,1,,,,,,2,
"0414-001",1,1,"095509",7,,2,2,2,,,,2,,,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0414-001",1,1,"4041400108",8,,1,,2,,,,2,,,,1,1,,,,3,1,8,1,3,1,,,,11,1,1,,30,1,1,1,,0,0,1250,0,0,0,0,0,0,0,0,1250,1,1,,,,,,2,
"0414-004",1,1,"095504",1,,1,,1,1,,,1,1,,,1,1,,,,4,1,10,2,,2,2,,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0414-004",1,1,"4041400402",2,,1,,1,1,,,1,1,,,1,1,,,,8,1,8,2,,2,7,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0415-003",1,1,"095503",1,,1,,1,1,,,1,1,,,1,1,,,,7,1,7,2,,2,2,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0415-003",1,1,"3033300302",2,,2,1,1,1,,,1,1,,,1,1,,,,7,1,6,2,,2,7,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0415-003",1,1,"3033300303",3,,2,1,2,,,,2,,,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0415-003",1,1,"4041500304",4,"X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0415-003",1,1,"4041500305",5,"X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0415-003",1,1,"4041500306",6,,2,2,1,1,,,1,1,,,1,1,,,,4,1,6,1,4,1,,,,13,1,1,,40,1,2,,,0,0,3600,0,0,0,0,0,1000,3000,3000,10600,1,1,2,,,,,2,
"0417-001",2,2,"095600102",2,,1,,1,1,,,1,1,,,1,1,,,,7,1,6,2,,2,7,,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0417-001",2,2,"095600103",3,,2,2,1,1,,,1,1,,,1,1,,,,3,1,6,1,2,1,,,,11,1,1,,5,1,2,,,0,0,500,0,0,0,0,0,1800,0,0,2300,1,1,2,,,,,2,
"0417-001",2,2,"095600104",4,,2,1,2,,,,2,,,,2,1,,,,1,1,5,1,1,1,,,,11,1,1,,5,1,2,,,0,0,300,2000,0,0,0,0,300,0,0,2600,1,1,2,,,,,2,
"0417-001",2,2,"095601",1,,2,2,1,1,,,1,1,,,1,1,,,,7,1,6,2,,2,2,,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0417-001",2,2,"3033400105",5,"X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0417-006",2,2,"3033400106",1,,1,,2,,,,2,,,,2,1,,,,1,1,6,2,,2,7,,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0417-006",2,2,"4041700602",2,"X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0417-006",2,2,"4041700603",3,"X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0418-001",2,2,"095600205",5,,2,1,2,,,,2,,,,2,1,,,,1,1,5,2,,1,,,,11,1,1,,90,1,2,,,0,0,300,3500,0,0,0,0,300,0,0,4100,1,1,,,,,,2,
"0418-001",2,2,"095602",1,,1,,1,1,,,1,1,,,1,1,,,,6,1,9,2,,2,2,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0418-001",2,2,"095603",2,,1,,1,1,,,1,1,,,1,1,,,,6,1,6,2,,2,2,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0418-001",2,2,"095604",3,,1,,1,1,,,1,1,,,1,1,,,,6,1,6,1,6,1,,,,11,1,1,,90,1,2,,,0,0,1000,1500,0,0,0,0,3200,0,0,5700,1,1,,,,,,2,
"0418-001",2,2,"095605",4,,2,1,1,1,,,1,1,,,1,1,,,,6,1,6,1,5,1,,,,11,1,1,,90,1,2,,,0,0,1000,2500,0,0,0,0,3200,0,0,6700,1,1,,,,,,2,
"0419-001",1,1,"095700102",2,,1,,1,1,,,1,1,,,1,1,,,,6,1,10,2,,2,2,,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0419-001",1,1,"095700103",3,,2,2,1,1,,,1,1,,,1,1,,,,6,1,8,1,5,1,,,,11,1,1,,30,1,2,,,0,0,1000,0,0,900,0,0,1200,300,0,3400,1,1,2,,,,,2,
"0419-001",1,1,"095700105",4,,1,,2,,,,2,,,,2,1,,,,2,1,5,1,1,1,,,,11,1,1,,30,1,2,,,0,0,500,0,0,500,0,0,0,300,0,1300,1,1,2,,,,,2,
"0419-001",1,1,"095701",1,,1,,1,1,,,1,1,,,1,1,,,,9,2,7,2,,2,2,,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0419-001",1,1,"3033600106",5,,2,2,2,,,,2,,,,2,1,,,,1,1,5,1,1,1,,,,11,1,1,,30,1,2,,,0,0,300,0,0,200,0,0,0,0,0,500,1,1,2,,,,,2,
"0420-001",1,1,"095700201",1,,1,,1,1,,,1,1,,,1,1,,,,7,1,6,2,,2,2,,1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0420-001",1,1,"095700207",6,,1,,2,,,,2,,,,2,1,,,,1,1,6,1,1,1,,,,11,1,1,,6,1,2,,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,,,,,2,
"0420-001",1,1,"095702",2,,1,,1,1,,,1,1,,,1,1,,,,4,1,6,2,,2,2,,1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0420-001",1,1,"095705",4,,2,2,2,,,,2,,,,1,1,,,,3,1,6,1,3,1,,,,11,1,1,,6,1,1,2,,0,0,1500,2000,0,0,0,0,1000,0,0,4500,1,1,,,,,,2,
"0420-001",1,1,"095706",5,,2,2,2,,,,2,,,,2,1,,,,2,1,6,1,2,1,,,,11,1,1,,6,1,2,,,0,0,500,0,0,0,0,0,0,0,0,500,1,1,2,,,,,2,
"0420-001",1,1,"3033700108",7,"X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0421-003",1,1,"095703",2,,2,1,1,1,,,1,1,,,1,1,,,,7,1,5,2,,2,5,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0421-003",1,1,"3033700301",1,,1,,2,,,,2,,,,1,1,,,,5,1,6,2,,2,16,,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0421-003",1,1,"4042100303",3,"X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0422-001",1,1,"095901",1,,1,,1,1,,,1,1,,,1,1,,,,3,1,7,2,,2,2,,1948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0422-001",1,1,"095902",2,,2,1,1,1,,,1,1,,,1,1,,,,2,1,7,2,,2,2,,1958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0422-001",1,1,"095905",3,,2,1,1,1,,,1,1,,,1,1,,,,5,1,7,2,,2,7,,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0422-001",1,1,"095906",4,,2,1,2,,,,2,,,,1,1,,,,2,1,7,1,1,1,,,,11,1,1,,15,1,2,,,0,0,600,1000,0,1500,0,0,0,0,0,3100,1,1,,,,,,2,
"0422-001",1,1,"3033800105",5,,2,1,1,1,,,1,1,,,1,1,,,,4,1,9,1,3,1,,,,11,1,1,,15,1,2,,,0,0,900,1000,0,1500,0,0,1500,0,0,4900,1,1,,,,,,2,
"0423-001",1,1,"095900302",2,,2,1,2,,,,2,,,,1,1,,,,1,1,7,2,,2,2,,1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0423-001",1,1,"095900303",3,,2,1,2,,,,2,,,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0423-001",1,1,"095903",1,,1,,1,1,,,1,1,,,1,1,,,,10,3,9,2,,2,2,,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0423-001",1,1,"4042300104",4,"X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0424-001",1,1,"095900401",1,,2,2,1,1,,,1,1,,,1,1,,,,8,1,6,2,,2,2,,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0424-001",1,1,"095900403",3,,2,2,2,,,,2,,,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0424-001",1,1,"095904",2,,1,,2,,,,2,,,,1,1,,,,3,1,6,2,,2,8,,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0424-001",1,1,"4042400104",4,"X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0425-002",1,1,"096100106",5,,2,1,2,,,,2,,,,1,1,,,,1,1,6,1,1,1,,,,11,1,1,,15,1,2,,,0,0,4000,0,0,300,0,0,0,0,0,4300,1,7,,,,,,2,
"0425-002",1,1,"096102",1,,1,,2,,,,2,,,,1,1,,,,3,1,7,2,,2,2,,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0425-002",1,1,"096104",2,,2,1,1,1,,,1,1,,,1,1,,,,8,1,7,2,,2,7,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0425-002",1,1,"096105",3,,2,1,1,1,,,1,1,,,1,1,,,,5,1,6,2,,2,7,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0425-002",1,1,"096106",4,,2,1,2,,,,2,,,,1,1,,,,3,1,6,1,2,1,,,,11,1,1,,10,1,2,,,0,0,5000,0,0,300,0,0,1200,0,0,6500,1,7,,,,,,2,
"0425-002",1,1,"3034100207",6,,2,1,2,,,,2,,,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0425-002",1,1,"4042500207",7,,2,1,1,1,,,1,1,,,1,1,,,,12,4,6,2,,2,2,,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0426-001",1,1,"096100301",1,,1,,1,1,,,1,1,,,1,1,,,,5,1,8,2,,2,2,,1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0426-001",1,1,"096100304",2,,1,,1,1,,,1,1,,,1,1,,,,8,2,7,2,,2,2,,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0426-001",1,1,"096103",3,,2,1,1,1,,,1,1,,,1,1,,,,7,1,6,2,,2,7,,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0427-002",1,1,"096100302",2,,1,,1,1,,,1,1,,,1,1,,,,8,2,6,2,,2,2,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0427-002",1,1,"3034200201",1,,2,3,1,1,,,1,1,,,1,1,,,,8,2,6,2,,2,2,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0427-002",1,1,"3034200203",3,,2,2,2,,,,2,,,,1,1,,,,1,1,5,2,,1,,,,11,1,1,,30,1,2,,,0,0,2000,0,0,500,0,0,0,0,0,2500,1,1,,,,,,2,
"0427-002",1,1,"4042700204",4,"X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0428-003",1,1,"096100303",1,,1,,1,1,,,1,1,,,1,1,,,,7,1,6,2,,2,2,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0428-003",1,1,"3034200302",2,,2,1,2,,,,2,,,,2,1,,,,1,1,8,2,,2,7,,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0428-003",1,1,"3034200303",3,"X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0429-001",1,1,"096301",1,,1,,2,,,,2,,,,1,1,,,,1,1,7,2,,2,2,,1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0429-001",1,1,"096303",2,,2,1,1,1,,,1,1,,,1,1,,,,10,3,6,2,,2,2,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0429-001",1,1,"096305",3,,2,1,1,1,,,1,1,,,1,1,,,,5,1,6,2,,2,2,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0429-001",1,1,"096306",4,,1,,1,1,,,1,1,,,1,1,,,,5,1,6,2,,2,2,,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0429-001",1,1,"4042900105",5,"X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0430-002",1,1,"096302",1,,1,,1,1,,,1,1,,,1,1,,,,8,1,6,2,,2,2,,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0430-002",1,1,"4043000202",2,,1,,1,1,,,1,1,,,1,1,,,,4,1,7,2,,2,2,,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0430-002",1,1,"4043000203",3,,2,1,2,,,,2,,,,1,1,,,,1,1,7,2,,1,,,,11,1,1,,30,1,2,,,0,0,2000,0,0,0,0,0,400,0,0,2400,1,1,,,,,,2,
"0430-002",1,1,"4043000204",4,"X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0430-003",1,1,"3034300202",2,,1,,1,1,,,1,1,,,1,1,,,,5,1,7,2,,2,2,,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0430-003",1,1,"3034300203",3,,2,2,1,1,,,1,1,,,1,1,,,,1,1,6,1,1,1,,,,13,1,1,,20,1,1,2,,0,0,1500,0,0,0,0,0,0,0,0,1500,1,2,,,,,,2,
"0430-003",1,1,"3034300204",4,,2,2,2,,,,2,,,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0430-003",1,1,"4043000305",5,,2,2,1,1,,,1,1,,,1,1,,,,5,1,6,2,,2,2,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0430-003",1,1,"4043000306",6,"X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0430-003",1,1,"4043000307",7,"X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0430-003",1,1,"4043000308",8,,2,2,1,1,,,1,1,,,1,1,,,,7,1,7,2,,2,2,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0431-004",1,1,"096304",2,,1,,1,1,,,1,1,,,1,1,,,,8,1,7,2,,2,4,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0431-004",1,1,"3034300401",1,,1,,1,1,,,1,1,,,1,1,,,,10,3,6,2,,2,4,,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0431-004",1,1,"3034300403",3,"X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0431-004",1,1,"4043100404",4,"X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0432-001",1,1,"096501",1,,1,,2,,,,2,,,,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0432-001",1,1,"096502",2,,1,,2,,,,2,,,,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0432-001",1,1,"096503",3,,2,1,2,,,,2,,,,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0432-001",1,1,"096504",4,,1,,2,,,,2,,,,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0432-001",1,1,"096506",5,,1,,1,1,,,1,1,,,1,1,,,,8,1,7,1,7,2,18,"N/A",2019,,,,,,,,,,0,0,2000,5000,0,1500,0,500,1000,0,0,10000,1,1,,,,,,2,
"0432-001",1,1,"096507",6,,2,1,2,,,,2,,,,2,1,,,,3,1,8,1,2,1,,,,11,1,1,,30,1,2,,,0,0,1000,3500,0,1500,0,500,0,0,0,6500,1,1,,,,,,2,
"0433-001",1,1,"096701",1,,1,,1,1,,,1,1,,,1,1,,,,12,4,8,2,,2,1,,1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0433-001",1,1,"096702",2,,1,,1,1,,,1,1,,,1,1,,,,3,1,9,2,,2,2,,1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0434-001",1,1,"096901",1,,1,,2,,,,2,,,,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0434-001",1,1,"096902",2,,1,,2,,,,2,,,,2,2,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0434-001",1,1,"096906",6,,2,2,1,1,,,1,1,,,1,1,,,,4,1,8,1,3,1,,,,11,1,1,,20,1,2,,,0,0,1500,1900,0,500,0,500,350,0,0,4750,1,1,,,,,,2,
"0434-001",1,1,"096907",7,,1,,2,,,,2,,,,2,1,,,,4,1,9,1,3,1,,,,11,1,1,,20,1,2,,,0,0,1500,2000,0,500,0,500,350,0,0,4850,1,1,,,,,,2,
"0434-001",1,1,"3034600108",8,,2,2,2,,,,2,,,,2,1,,,,3,1,6,1,2,1,,,,11,1,1,,20,1,2,,,0,0,1500,2000,0,500,0,500,350,0,0,4850,1,1,,,,,,2,
"0434-001",1,1,"3034600109",9,,2,2,2,,,,2,,,,2,1,,,,2,1,6,1,1,1,,,,11,1,1,,20,1,2,,,0,0,1500,2000,0,500,0,500,350,0,0,4850,1,1,,,,,,2,
"0434-001",1,1,"3034600110",10,,2,2,2,,,,2,,,,2,1,,,,1,1,6,2,,1,,,,11,1,1,,20,1,2,,,0,0,300,1500,0,500,0,500,0,0,0,2800,1,1,,,,,,2,
"0434-003",1,1,"096903",1,,1,,1,1,,,1,1,,,1,1,,,,8,2,6,2,,2,2,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0434-003",1,1,"4043400302",2,,1,,1,1,,,1,1,,,1,1,,,,6,1,7,2,,2,7,,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0434-003",1,1,"4043400303",3,,2,2,2,,,,1,1,,,1,1,,,,2,1,6,1,2,1,,,,11,1,1,,20,1,2,,,0,0,1500,0,0,150,0,0,150,0,0,1800,1,1,,,,,,2,
"0434-003",1,1,"4043400304",4,"X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0434-003",1,1,"4043400305",5,"X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0434-004",1,1,"096904",2,,1,,2,,,,2,,,,1,1,,,,2,1,6,2,,2,7,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0434-004",1,1,"4043400401",1,,2,3,1,1,,,1,1,,,1,1,,,,7,1,6,2,,2,2,,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0434-004",1,1,"4043400403",3,,2,2,2,,,,2,,,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0434-004",1,1,"4043400404",4,"X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0434-005",1,1,"096905",2,,1,,2,,,,2,,,,2,1,,,,3,1,8,2,,2,7,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0434-005",1,1,"4043400501",1,,1,,1,1,,,1,1,,,1,1,,,,9,2,9,2,,2,2,,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0434-005",1,1,"4043400503",3,"X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0435-001",1,1,"097100106",6,,1,,2,,,,2,,,,2,1,,,,1,1,7,2,,1,,,,11,1,1,,10,1,2,,,0,0,1500,0,0,500,0,0,0,0,0,2000,1,1,2,,,,,2,
"0435-001",1,1,"097101",1,,1,,1,1,,,1,1,,,1,1,,,,3,1,6,2,,2,2,,1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0435-001",1,1,"097102",2,,2,1,2,,,,2,,,,1,1,,,,1,1,6,2,,2,3,,1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0435-001",1,1,"097103",3,,2,1,1,1,,,1,1,,,1,1,,,,10,2,6,2,,2,4,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0435-001",1,1,"097104",4,,1,,1,1,,,1,1,,,1,1,,,,7,1,7,2,,2,3,,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0435-001",1,1,"097105",5,,2,1,2,,,,2,,,,2,1,,,,4,1,6,1,4,1,,,,11,1,1,,12,1,1,2,,0,0,1500,1500,0,500,0,0,350,0,0,3850,1,1,2,,,,,2,
"0435-001",1,1,"4043500107",7,"X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0435-001",1,1,"4043500108",8,"X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0436-001",1,1,"097302",1,,1,,2,,,,2,,,,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0436-001",1,1,"097304",3,,2,1,1,1,,,1,1,,,2,1,,,,4,1,8,1,3,1,,,,11,1,1,,20,1,2,,,0,0,2100,0,0,900,0,0,900,0,0,3900,1,1,,,,,,2,
"0436-001",1,1,"097305",4,,2,1,2,,,,2,,,,2,1,,,,3,1,7,1,3,1,,,,11,1,1,,20,1,2,,,0,0,750,1500,0,0,0,0,0,0,0,2250,1,1,,,,,,2,
"0436-002",1,3,"097303",1,,1,,2,,,,2,,,,1,1,,,,3,1,7,2,,2,7,,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0436-002",1,3,"4043600202",2,,2,1,1,1,,,1,1,,,1,1,,,,7,1,6,1,6,1,,,,11,1,1,,5,1,2,,,0,0,3500,0,0,1050,0,0,0,2000,0,6550,1,1,,,,,,2,
"0436-002",1,3,"4043600203",3,,2,1,1,1,,,1,1,,,1,1,,,,5,1,6,1,5,1,,,,11,1,1,,5,1,2,,,0,0,2500,0,0,900,0,0,0,1500,1000,5900,1,1,,,,,,2,
"0436-002",1,3,"4043600204",4,,2,1,2,,,,2,,,,1,1,,,,2,1,6,1,1,1,,,,11,1,1,,5,1,2,,,0,0,1000,2500,0,600,0,0,0,1000,500,5600,1,1,,,,,,2,
"0437-001",1,1,"097501",1,,1,,2,,,,2,,,,1,1,,,,2,1,8,2,,2,9,,1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0437-001",1,1,"097502",2,,2,1,2,,,,2,,,,1,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0437-003",1,3,"097500103",2,,1,,1,1,,,1,1,,,1,1,,,,7,1,6,2,,2,2,,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0437-003",1,3,"4043700301",1,,1,,1,1,,,1,1,,,1,1,,,,6,1,6,2,,2,2,,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0437-003",1,3,"4043700303",3,"X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0438-001",1,1,"097701",1,,1,,1,1,,,2,,,,2,1,,,,2,1,6,2,,2,3,,1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0438-001",1,1,"097702",2,,2,1,2,,,,2,,,,2,1,,,,1,1,7,2,,2,7,,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
