"y4_hhid","y3_hhid","HHID","case_id","ea_id","panelweight_2019","panelweight_2016","panelweight_2013","hh_wgt","region","district","ta_code","reside","dist_to_IHPS2016location","dist_to_IHPSlocation","dist_to_IHS3location","hhsize","interview_status","qx_type","consent","hh_a11","hh_a22","hh_a23","hh_a31","hh_a37","hh_a40","interviewdate_v1","interviewdate_v2","hh_g09","hh_m00","hh_o0a","hh_s01","hh_w01","consumption_date"
"0600-005","0464-002",1115,"205083490101","20508349",650.84327724861,411.328281824675,1850.97726821104,2467.96969094805,100,107,10732,1,274,232,232,1,3,1,1,1,,,1,21,15,,"2019-11-10",1,2,2,1,2,"2019-11-10"
"0601-002","0465-002",1115,"205083490101","20508349",1278.05380983366,1233.98484547403,308.496211368506,2467.96969094805,200,205,20508,2,0,0,0,3,1,1,1,1,12,55,1,55,12,"2019-05-09","2019-08-12",2,1,2,2,2,"2019-05-09"
"0601-005","0465-002",1115,"205083490101","20508349",385.587366479535,1233.98484547403,308.496211368506,2467.96969094805,300,303,30304,2,246,246,246,5,1,1,1,1,7,87,1,200,7,"2019-07-20","2019-09-20",2,1,2,2,2,"2019-07-20"
"0602-001","0466-001",1116,"206016260151","20601626",4438.13310929597,2669.29528826048,2669.29528826048,2669.29528826048,200,206,20601,2,0,0,0,6,2,2,1,3,12,67,1,67,12,"2019-05-30","2019-08-24",1,1,2,2,2,"2019-08-24"
"0603-001","0467-001",1117,"205083490076","20508349",8741.53563123668,1318.90901918463,1318.90901918463,2637.81803836926,200,205,20508,2,0,0,0,8,1,1,1,1,12,66,1,66,12,"2019-05-07","2019-08-13",1,1,2,1,2,"2019-05-07"
"0604-001","0468-001",1119,"205083490116","20508349",2556.90643754235,955.365856418678,,2547.64228378314,200,205,20508,2,0,0,0,5,1,1,1,1,12,67,1,67,12,"2019-05-07","2019-08-12",2,1,1,2,1,"2019-05-07"
"0605-002","0468-002",1119,"205083490116","20508349",1922.6654906395,318.455285472893,1273.82114189157,2547.64228378314,200,205,20508,2,0,0,0,4,1,1,1,3,12,50,1,50,12,"2019-05-10","2019-08-13",1,1,2,2,2,"2019-05-11"
"0606-002","0469-002",1148,"206030900161","20603090",2028.19461144527,2549.64064019282,2549.64064019282,2549.64064019282,200,206,20603,2,0,0,0,3,2,2,1,1,6,48,1,48,6,"2019-05-08","2019-08-12",2,1,1,2,2,"2019-08-12"
"0607-001","0470-001",1150,"206030900017","20603090",1258.33471100658,2636.41804065789,2636.41804065789,2636.41804065789,200,206,20603,2,0,0,0,4,2,2,1,1,6,48,1,48,6,"2019-05-07","2019-08-10",1,1,1,2,2,"2019-08-10"
"0607-003","0470-001",1150,"206030900017","20603090",446.003642110774,2636.41804065789,2636.41804065789,2636.41804065789,200,206,20603,2,0,0,0,3,2,2,1,1,6,48,1,48,6,"2019-05-05","2019-08-15",1,1,2,1,2,"2019-08-15"
"0607-004","0470-001",1150,"206030900017","20603090",434.616315078159,2636.41804065789,2636.41804065789,2636.41804065789,200,206,20603,2,23,24,23,9,4,2,1,1,,,1,48,6,,"2019-11-04",1,1,2,2,2,"2019-11-04"
"0608-001","0471-001",1152,"206030900103","20603090",2376.80509565665,1052.19947677941,,2630.49869194853,200,206,20603,2,0,15,0,7,2,2,1,1,6,33,1,91,6,"2019-05-06","2019-08-12",2,1,2,2,2,"2019-08-12"
"0609-003","0471-003",1152,"206030900103","20603090",1216.22189264942,263.049869194853,1315.24934597426,2630.49869194853,200,206,20601,2,0,9,21,2,2,2,1,1,6,54,1,54,6,"2019-07-20","2019-10-04",2,1,1,2,2,"2019-10-04"
"0609-004","0471-003",1152,"206030900103","20603090",315.123873684325,263.049869194853,1315.24934597426,2630.49869194853,200,206,20601,2,0,9,21,3,2,2,1,1,6,48,1,91,6,"2019-07-20","2019-10-04",1,2,2,2,2,"2019-10-04"
"0610-001","0472-001",1153,"206035330091","20603533",702.788675376624,1516.60124934958,1011.06749956639,1516.60124934958,200,206,20603,2,0,0,0,4,1,1,1,1,12,66,1,66,12,"2019-06-28","2019-09-20",2,1,1,2,2,"2019-06-28"
"0611-001","0473-001",1153,"206035330091","20603533",1319.89479538062,758.300624674792,252.766874891597,1516.60124934958,200,206,20603,2,0,0,0,4,1,1,1,1,12,50,1,50,12,"2019-06-28","2019-09-21",2,1,2,2,2,"2019-06-28"
"0612-001","0474-001",1154,"206030900189","20603090",1702.10150578282,2581.2716649108,1290.6358324554,2581.2716649108,200,206,20603,2,0,0,0,8,2,2,1,1,6,54,1,54,6,"2019-05-05","2019-08-10",2,1,2,2,2,"2019-08-10"
"0612-004","0474-001",1154,"206030900189","20603090",416.2266949625,2581.2716649108,1290.6358324554,2581.2716649108,200,206,20603,2,0,0,0,3,2,2,1,1,6,54,1,54,6,"2019-05-08","2019-08-10",1,1,2,2,2,"2019-08-10"
"0613-001","0476-001",1156,"206030900031","20603090",800.227519648844,2543.31476970587,423.885794950979,2543.31476970587,200,206,20603,2,0,0,0,1,2,2,1,1,6,47,1,48,6,"2019-05-06","2019-08-16",2,1,1,2,1,"2019-08-16"
"0614-002","0477-001",1156,"206030900031","20603090",3013.11629482034,1271.65738485294,847.771589901957,2543.31476970587,200,206,20603,2,0,0,0,4,2,2,1,1,6,47,2,47,6,"2019-05-07","2019-10-15",2,1,2,2,1,"2019-10-15"
"0614-005","0477-001",1156,"206030900031","20603090",512.764247511,1271.65738485294,847.771589901957,2543.31476970587,200,206,20603,2,0,0,0,3,2,2,1,1,6,47,1,47,6,"2019-05-08","2019-08-16",2,1,2,2,2,"2019-08-16"
"0615-001","0478-001",1158,"206030900074","20603090",3371.13331570069,1302.57233454318,2605.14466908637,2605.14466908637,200,206,20603,2,0,0,0,6,2,2,1,1,6,47,1,47,6,"2019-05-06","2019-08-10",2,1,1,1,2,"2019-08-10"
"0615-003","0478-001",1158,"206030900074","20603090",421.831990130782,1302.57233454318,2605.14466908637,2605.14466908637,200,206,20603,2,16,16,16,2,4,2,1,1,,,1,47,6,,"2019-10-14",2,1,2,2,2,"2019-10-14"
"0616-001","0479-001",1159,"206035330026","20603533",2867.77754245241,1749.76669745754,1749.76669745754,1749.76669745754,100,105,10506,2,0,0,211,8,1,1,1,1,15,53,1,40,15,"2019-07-20","2019-10-28",2,1,2,1,2,"2019-07-20"
"0618-001","0481-001",1160,"206030900233","20603090",2261.08414005873,1367.08004206885,273.416008413771,2734.16008413771,200,206,20603,2,0,0,0,5,2,2,1,1,6,48,1,48,6,"2019-05-09","2019-08-13",2,1,2,2,2,"2019-08-13"
"0619-001","0482-001",1161,"206035330138","20603533",2050.23116539369,1308.42291414237,,1526.49339983276,200,206,20603,2,0,0,0,8,1,1,1,1,12,66,1,66,12,"2019-07-01","2019-09-20",2,1,2,2,2,"2019-07-01"
"0620-003","0482-003",1161,"206035330138","20603533",550.645321461756,109.035242845197,1308.42291414237,1526.49339983276,200,206,20603,2,0,0,0,3,1,1,1,1,12,66,1,66,12,"2019-06-28","2019-09-20",2,1,2,1,2,"2019-06-28"
"0621-001","0484-001",1162,"206030900218","20603090",2211.73353425927,1330.2372684044,1330.2372684044,2660.4745368088,200,206,20603,2,0,0,0,7,2,2,1,2,6,48,1,48,6,"2019-05-06","2019-08-12",2,1,2,2,2,"2019-08-12"
"0622-001","0485-001",1163,"206035330110","20603533",225.538717803874,1566.66154029161,783.330770145804,1566.66154029161,200,206,20603,2,0,0,0,4,1,1,1,1,12,55,1,55,12,"2019-06-30","2019-09-21",2,1,1,1,2,"2019-06-30"
"0622-002","0485-001",1163,"206035330110","20603533",1141.69429949252,1566.66154029161,783.330770145804,1566.66154029161,200,206,20603,2,0,0,0,8,1,1,1,1,12,55,1,55,12,"2019-06-28","2019-09-20",2,1,2,2,2,"2019-06-28"
"0623-001","0486-001",1164,"206030900002","20603090",964.648908149301,2218.64270606236,,2662.37124727484,200,206,20603,2,0,0,0,10,2,2,1,1,6,48,1,48,6,"2019-05-04","2019-08-13",2,1,1,1,2,"2019-08-13"
"0623-003","0486-001",1164,"206030900002","20603090",201.859793050833,2218.64270606236,,2662.37124727484,200,206,20603,2,0,0,0,3,2,2,1,1,6,48,1,48,6,"2019-05-07","2019-08-10",,1,2,1,2,"2019-08-10"
"0624-008","0486-008",1164,"206030900002","20603090",429.987667032707,221.864270606236,1141.01624883207,2662.37124727484,200,206,20601,2,0,10,10,4,2,2,1,2,6,17,1,48,6,"2019-07-16","2019-10-14",2,1,2,2,2,"2019-10-14"
"0625-001","0487-001",1164,"206030900002","20603090",438.188133166225,2662.37124727484,190.169374805345,2662.37124727484,200,206,20603,2,0,0,8,5,2,2,1,1,6,33,1,91,6,"2019-05-07","2019-08-15",2,1,2,2,2,"2019-08-15"
"0625-003","0487-001",1164,"206030900002","20603090",222.605189445021,2662.37124727484,190.169374805345,2662.37124727484,200,206,20603,2,8,6,0,4,2,2,1,1,6,33,1,91,6,"2019-05-07","2019-08-10",2,1,2,2,2,"2019-08-10"
"0626-001","0488-001",1165,"206035330073","20603533",1325.98646790658,1588.17168839748,1588.17168839748,1588.17168839748,200,206,20603,2,0,0,0,5,1,1,1,1,12,67,1,67,12,"2019-06-28","2019-09-20",2,1,2,2,2,"2019-06-28"
"0627-001","0489-001",1166,"206030900290","20603090",1154.14285451985,2606.69426515865,1303.34713257933,2606.69426515865,200,208,20603,2,0,0,0,6,2,2,1,1,6,33,1,91,6,"2019-05-04","2019-10-14",1,1,2,2,1,"2019-10-14"
"0628-001","0490-001",1167,"206035330156","20603533",1849.42049992935,787.817794333299,1575.6355886666,1575.6355886666,200,206,20603,2,0,0,0,5,1,1,1,1,12,67,1,67,12,"2019-06-28","2019-09-20",2,1,1,1,2,"2019-06-28"
"0628-003","0490-001",1167,"206035330156","20603533",384.141747011757,787.817794333299,1575.6355886666,1575.6355886666,200,206,20603,2,0,0,0,3,1,1,1,2,12,67,1,67,12,"2019-06-29","2019-09-20",1,1,2,2,2,"2019-06-29"
"0629-001","0491-001",1168,"206030900247","20603090",2108.32658551517,1292.53373318405,1292.53373318405,2585.06746636811,200,206,20603,2,0,0,0,5,2,2,1,1,6,33,1,91,6,"2019-05-05","2019-08-13",1,1,2,2,2,"2019-08-13"
"0630-001","0492-001",1169,"206035330119","20603533",102.902910901949,766.592143798403,255.530714599468,1533.18428759681,200,206,20603,2,7,7,0,5,1,1,1,3,12,50,1,50,12,"2019-07-03","2019-09-21",2,1,2,2,2,"2019-07-03"
"0630-002","0492-001",1169,"206035330119","20603533",209.286681369292,766.592143798403,255.530714599468,1533.18428759681,200,206,20603,2,14,14,8,3,1,1,1,1,12,50,1,50,12,"2019-07-04","2019-09-20",1,1,2,2,2,"2019-07-04"
"0631-001","0493-001",1169,"206035330119","20603533",1306.74500103748,613.273715038722,,1533.18428759681,200,206,20603,2,0,0,0,6,1,1,1,1,12,66,1,66,12,"2019-06-30","2019-09-20",2,1,2,2,2,"2019-06-30"
"0632-007","0493-006",1169,"206035330119","20603533",438.201288828263,153.318428759681,511.061429198935,1533.18428759681,200,206,20603,2,0,0,0,6,1,1,1,1,12,67,1,67,12,"2019-06-30","2019-09-21",2,1,1,2,2,"2019-06-30"
"0633-001","0494-001",1170,"206030900175","20603090",444.919249781676,882.411701341338,,2647.23510402401,200,206,20603,2,0,0,0,3,2,2,1,2,6,33,1,91,6,"2019-05-04","2019-08-12",2,1,2,2,2,"2019-08-12"
"0634-003","0494-003",1170,"206030900175","20603090",855.010225483768,441.205850670669,,2647.23510402401,200,206,20603,2,0,0,0,1,2,2,1,1,6,47,1,17,6,"2019-05-05","2019-08-16",2,1,1,2,2,"2019-08-16"
"0635-004","0494-004",1170,"206030900175","20603090",1263.91142468675,1323.61755201201,1323.61755201201,2647.23510402401,200,206,20603,2,0,0,0,6,2,2,1,1,6,47,1,47,6,"2019-05-05","2019-08-13",2,1,2,2,2,"2019-08-13"
"0636-001","0495-001",1171,"206035330165","20603533",1745.00937423747,1354.92723818374,,1693.65904772967,200,206,20603,2,0,0,0,5,1,1,1,1,12,55,1,55,12,"2019-06-28","2019-09-21",2,1,2,1,2,"2019-06-28"
"0637-003","0495-003",1171,"206035330165","20603533",555.121472964205,169.365904772967,1693.65904772967,1693.65904772967,200,210,21037,1,0,29,29,2,1,1,1,1,18,90,1,90,18,"2019-06-10","2019-08-29",2,1,1,2,2,"2019-06-11"
"0637-005","0495-003",1171,"206035330165","20603533",166.069651517429,169.365904772967,1693.65904772967,1693.65904772967,200,210,21037,1,0,29,29,3,1,1,1,2,18,90,1,90,18,"2019-06-23","2019-09-04",2,1,2,2,2,"2019-06-23"
"0638-002","0496-001",1172,"206030900060","20603090",406.919332949754,2048.25169300229,,2560.31461625287,200,206,20603,2,0,0,0,3,2,2,1,1,6,47,1,47,6,"2019-05-04","2019-08-10",2,1,1,2,2,"2019-08-10"
"0638-003","0496-001",1172,"206030900060","20603090",430.310574431681,2048.25169300229,,2560.31461625287,200,206,21088,1,30,30,30,6,4,2,1,1,,,2,47,5,,"2019-10-11",2,1,2,2,2,"2019-10-11"
"0638-005","0496-001",1172,"206030900060","20603090",434.552409228927,2048.25169300229,,2560.31461625287,200,206,20603,2,12,12,12,4,4,2,1,1,,,2,47,6,,"2019-08-16",2,1,2,2,2,"2019-08-16"
"0639-004","0496-004",1172,"206030900060","20603090",854.519442402713,256.031461625287,2560.31461625287,2560.31461625287,200,206,20603,2,0,0,0,1,2,2,1,1,6,54,1,54,6,"2019-07-16","2019-08-12",2,1,2,2,2,"2019-08-12"
"0639-005","0496-004",1172,"206030900060","20603090",422.7288651971,256.031461625287,2560.31461625287,2560.31461625287,200,206,20603,2,0,0,0,3,2,2,1,1,6,54,1,54,6,"2019-05-05","2019-08-16",2,1,2,2,2,"2019-08-16"
"0640-003","0497-001",1173,"206035330045","20603533",524.414139174591,722.863051657619,,1445.72610331524,200,206,20603,2,0,0,0,5,1,1,1,1,12,67,1,67,12,"2019-06-29","2019-09-20",2,1,2,2,1,"2019-06-29"
"0641-002","0497-002",1173,"206035330045","20603533",938.825350113742,361.43152582881,1445.72610331524,1445.72610331524,200,206,21053,1,0,27,27,3,1,1,1,1,6,54,1,54,6,"2019-05-30","2019-09-09",2,2,2,2,2,"2019-05-30"
"0642-001","0498-001",1174,"206030900276","20603090",1133.1123063998,2790.36951295809,1395.18475647904,2790.36951295809,200,206,20603,2,0,0,0,4,2,2,1,1,6,47,1,47,6,"2019-05-04","2019-08-15",2,1,1,2,2,"2019-08-15"
"0642-002","0498-001",1174,"206030900276","20603090",308.212256569624,2790.36951295809,1395.18475647904,2790.36951295809,200,210,21052,1,26,26,26,3,2,2,1,1,6,47,1,47,6,"2019-05-16","2019-09-10",2,2,2,2,2,"2019-09-10"
"0642-003","0498-001",1174,"206030900276","20603090",389.9672223324,2790.36951295809,1395.18475647904,2790.36951295809,200,206,20603,2,0,0,0,4,2,2,1,1,6,47,1,47,6,"2019-05-09","2019-08-12",2,1,2,2,1,"2019-08-12"
"0642-006","0498-001",1174,"206030900276","20603090",382.109982433868,2790.36951295809,1395.18475647904,2790.36951295809,200,206,20603,2,0,0,0,2,2,2,1,1,6,47,1,47,6,"2019-05-09","2019-08-12",2,1,2,2,2,"2019-08-12"
"0643-001","0499-001",1175,"206035330008","20603533",410.307051119442,1521.97011825324,507.32337275108,1521.97011825324,200,206,20603,2,0,0,0,1,1,1,1,1,12,39,1,55,12,"2019-06-29","2019-09-20",2,1,1,2,2,"2019-06-29"
"0644-002","0500-002",1175,"206035330008","20603533",173.23269575683,760.985059126619,253.66168637554,1521.97011825324,200,209,20904,2,0,23,134,4,1,1,1,1,13,12,1,62,13,"2019-06-22","2019-10-07",2,1,2,2,1,"2019-06-22"
"0645-002","0501-001",1175,"206035330008","20603533",1504.8558820842,760.985059126619,253.66168637554,1521.97011825324,300,315,31546,1,0,0,225,4,1,1,1,1,17,74,1,74,17,"2019-06-09","2019-09-18",2,2,2,2,2,"2019-06-09"
"0646-001","0502-001",1176,"206030900046","20603090",415.56218170591,1311.37008614346,655.685043071732,2622.74017228693,200,206,20603,2,0,0,0,1,2,2,1,1,6,54,1,54,6,"2019-05-04","2019-08-13",2,1,2,2,2,"2019-08-13"
"0646-004","0502-001",1176,"206030900046","20603090",223.799456887874,1311.37008614346,655.685043071732,2622.74017228693,200,206,20603,2,0,0,0,3,2,2,1,1,6,54,1,54,6,"2019-05-04","2019-08-13",2,1,2,2,2,"2019-08-13"
"0646-005","0502-001",1176,"206030900046","20603090",215.493008328939,1311.37008614346,655.685043071732,2622.74017228693,200,206,20603,2,0,0,0,2,2,2,1,1,6,54,1,54,6,"2019-05-08","2019-08-16",1,1,2,2,2,"2019-08-16"
"0646-008","0502-001",1176,"206030900046","20603090",213.680238542786,1311.37008614346,655.685043071732,2622.74017228693,200,206,20605,2,42,42,41,3,2,2,1,4,11,49,1,49,11,"2019-06-06","2019-09-30",2,1,2,2,2,"2019-09-30"
"0647-001","0503-001",1176,"206030900046","20603090",888.656825659102,1311.37008614346,327.842521535866,2622.74017228693,200,206,20603,2,0,24,0,5,2,2,1,1,6,54,1,54,6,"2019-05-09","2019-08-10",2,1,2,2,2,"2019-08-10"
"0647-003","0503-001",1176,"206030900046","20603090",223.53559040499,1311.37008614346,327.842521535866,2622.74017228693,200,206,20611,2,23,39,24,7,2,2,1,1,6,54,1,54,6,"2019-07-22","2019-09-23",2,1,2,2,2,"2019-09-23"
"0648-001","0504-001",1176,"206030900046","20603090",469.022663264754,1311.37008614346,327.842521535866,2622.74017228693,200,206,20603,2,0,0,0,4,2,2,1,1,6,54,1,54,6,"2019-05-06","2019-11-04",2,1,2,2,2,"2019-11-04"
"0648-005","0504-001",1176,"206030900046","20603090",230.635111274817,1311.37008614346,327.842521535866,2622.74017228693,200,206,20603,2,0,0,0,5,2,2,1,1,6,54,1,54,6,"2019-05-06","2019-08-15",2,1,2,2,2,"2019-08-15"
"0649-001","0505-001",1177,"206035330128","20603533",1502.97827146153,846.734648775457,846.734648775457,1693.46929755091,200,206,20603,2,0,0,0,7,1,1,1,1,12,50,1,50,12,"2019-06-30","2019-09-21",1,1,2,2,2,"2019-06-30"
"0650-001","0506-001",1179,"206035330184","20603533",2813.96827801587,763.59940859034,763.59940859034,1527.19881718068,200,206,20603,2,0,0,0,6,1,1,1,1,12,50,1,50,12,"2019-06-28","2019-09-22",1,1,1,1,2,"2019-06-28"
"0651-001","0507-001",1181,"206035330054","20603533",2120.89703986773,1633.02343620315,1399.73437388841,1633.02343620315,200,206,20603,2,0,0,0,7,1,1,1,1,12,55,1,55,12,"2019-06-29","2019-09-23",2,1,2,2,2,"2019-06-29"
"0652-001","0508-001",1181,"206035330054","20603533",330.718813963706,816.511718101575,116.644531157368,1633.02343620315,200,206,20603,2,0,0,9,5,1,1,1,1,12,67,1,67,12,"2019-07-02","2019-09-20",1,1,2,1,2,"2019-07-02"
"0653-001","0509-001",1210,"206072600354","20607260",619.841210896504,798.161536753467,199.540384188367,798.161536753467,200,206,20607,2,0,0,0,5,2,2,1,1,6,47,1,47,6,"2019-07-08","2019-09-25",2,1,1,2,2,"2019-09-25"
"0654-001","0510-001",1210,"206072600354","20607260",182.919272180038,798.161536753467,49.8850960470917,798.161536753467,200,206,20607,2,0,0,0,5,2,2,1,1,6,48,1,17,6,"2019-07-08","2019-09-24",2,1,2,2,2,"2019-09-25"
"0655-001","0511-001",1210,"206072600354","20607260",400.592473129758,399.080768376733,49.8850960470917,798.161536753467,200,206,20607,2,0,14,13,5,2,2,1,1,6,54,1,54,6,"2019-07-10","2019-09-26",2,1,2,2,2,"2019-09-26"
"0656-001","0513-001",1212,"206072600299","20607260",1324.02338320286,772.40391370093,772.40391370093,772.40391370093,200,206,20607,2,0,0,0,5,2,2,1,1,6,54,1,54,6,"2019-07-08","2019-09-27",1,1,1,2,2,"2019-09-27"
"0657-001","0514-001",1214,"206072600170","20607260",750.861438965988,647.414999498817,,776.897999398581,200,206,20607,2,0,0,0,6,2,2,1,1,6,48,1,17,6,"2019-07-09","2019-09-24",2,1,1,1,2,"2019-09-24"
"0658-003","0514-003",1214,"206072600170","20607260",131.032125242369,64.7414999498817,647.414999498817,776.897999398581,200,206,20607,2,0,0,0,4,2,2,1,3,6,17,1,91,6,"2019-07-09","2019-09-25",2,1,2,2,2,"2019-09-25"
"0659-001","0515-001",1214,"206072600170","20607260",173.666145551629,388.44899969929,64.7414999498817,776.897999398581,200,206,20607,2,0,0,0,4,2,2,1,1,6,48,1,17,6,"2019-07-09","2019-09-25",2,2,2,2,2,"2019-09-25"
"0660-001","0516-001",1216,"206072600114","20607260",1560.87336502615,873.307414381143,436.653707190572,873.307414381143,200,206,20607,2,0,0,0,5,2,2,1,1,12,50,1,50,12,"2019-07-23","2019-10-21",2,1,2,2,2,"2019-10-24"
"0661-001","0517-001",1217,"206073150106","20607315",2307.23323716547,3659.025304929,2439.350203286,3659.025304929,200,206,20607,2,0,0,0,2,1,1,1,1,6,17,1,91,6,"2019-06-25","2019-09-13",1,1,1,1,2,"2019-06-25"
"0662-001","0518-001",1217,"206073150106","20607315",493.097834431163,3659.025304929,609.8375508215,3659.025304929,200,204,20406,2,0,0,20,2,1,1,1,1,3,56,1,56,3,"2019-06-19","2019-10-26",1,1,1,2,2,"2019-06-19"
"0662-002","0518-001",1217,"206073150106","20607315",599.98552190509,3659.025304929,609.8375508215,3659.025304929,200,206,21057,1,25,26,6,6,3,1,1,1,,,1,66,12,,"2019-10-28",2,1,2,1,2,"2019-10-28"
"0662-005","0518-001",1217,"206073150106","20607315",537.875267901102,3659.025304929,609.8375508215,3659.025304929,200,204,20405,2,0,0,17,4,1,1,1,1,3,56,1,56,3,"2019-06-20","2019-10-02",2,1,2,2,2,"2019-06-20"
"0663-001","0519-001",1218,"206072600336","20607260",158.204257267697,792.246387316749,99.0307984145936,792.246387316749,200,206,20607,2,0,0,0,2,2,2,1,1,6,47,1,47,6,"2019-07-09","2019-09-24",2,1,1,2,2,"2019-09-24"
"0663-003","0519-001",1218,"206072600336","20607260",45.672062365972,792.246387316749,99.0307984145936,792.246387316749,200,206,20607,2,0,0,0,2,2,2,1,2,6,47,1,47,6,"2019-07-09","2019-09-24",2,1,2,2,2,"2019-09-24"
"0664-002","0520-001",1218,"206072600336","20607260",218.49220349289,396.123193658374,99.0307984145936,792.246387316749,200,202,20303,2,14,83,80,8,2,2,1,3,8,6,1,24,8,"2019-06-04","2019-10-03",2,1,2,2,2,"2019-10-03"
"0665-001","0521-001",1218,"206072600336","20607260",187.097817111818,198.061596829187,,792.246387316749,200,206,20607,2,0,0,0,4,2,2,1,2,6,17,1,91,6,"2019-07-09","2019-09-24",1,2,2,1,2,"2019-09-24"
"0666-004","0521-004",1218,"206072600336","20607260",45.7785639957796,99.0307984145936,,792.246387316749,200,206,20607,2,6,0,0,8,2,2,1,1,6,54,1,54,6,"2019-07-10","2019-09-28",2,2,2,1,2,"2019-09-25"
"0666-005","0521-004",1218,"206072600336","20607260",172.331701653534,99.0307984145936,,792.246387316749,200,206,20607,2,0,0,0,2,2,2,1,1,6,54,1,54,6,"2019-07-09","2019-09-25",2,2,1,2,2,"2019-09-25"
"0667-005","0521-005",1218,"206072600336","20607260",45.4106270464032,99.0307984145936,198.061596829187,792.246387316749,200,206,20607,2,0,0,0,2,2,2,1,1,6,54,1,54,6,"2019-07-09","2019-09-25",2,2,2,2,2,"2019-09-26"
"0667-006","0521-005",1218,"206072600336","20607260",257.54995634318,99.0307984145936,198.061596829187,792.246387316749,200,206,20607,2,0,0,0,4,2,2,1,1,6,54,1,54,6,"2019-07-09","2019-09-25",2,1,1,1,2,"2019-09-25"
"0668-001","0522-001",1219,"206073150581","20607315",6263.96754794907,1920.09844455912,1920.09844455912,3840.19688911824,200,206,20607,2,0,0,0,6,1,1,1,1,6,47,1,47,6,"2019-07-05","2019-10-29",2,1,2,2,2,"2019-07-05"
"0669-001","0523-001",1220,"206072600317","20607260",258.503406280617,157.644367609763,,788.221838048816,200,206,20607,2,0,0,0,4,2,2,1,1,6,48,1,17,6,"2019-07-08","2019-09-25",2,1,1,2,2,"2019-09-25"
"0670-002","0523-002",1220,"206072600317","20607260",205.896107992111,78.8221838048816,,788.221838048816,200,206,20607,2,0,0,0,7,2,2,1,2,6,17,1,91,6,"2019-07-08","2019-09-25",1,2,2,2,2,"2019-09-25"
"0671-003","0523-003",1220,"206072600317","20607260",396.497262454782,78.8221838048816,,788.221838048816,200,206,20607,2,0,0,0,4,2,2,1,2,6,47,1,47,6,"2019-07-09","2019-09-24",2,1,1,2,2,"2019-09-24"
"0672-004","0523-004",1220,"206072600317","20607260",259.486661348446,78.8221838048816,788.221838048816,788.221838048816,300,312,31220,1,0,172,172,4,2,2,1,2,16,88,1,88,16,"2019-05-22","2019-08-15",2,1,2,1,2,"2019-08-15"
"0673-001","0524-001",1221,"206073150115","20607315",1921.49338943534,2656.0653013314,,3541.4204017752,200,206,20607,2,0,0,0,3,1,1,1,1,6,17,1,91,6,"2019-06-29","2019-09-13",1,1,1,2,2,"2019-06-29"
"0674-003","0524-003",1221,"206073150115","20607315",359.012825782575,442.6775502219,885.355100443801,3541.4204017752,200,206,21088,1,0,29,29,3,1,1,1,1,6,48,1,91,6,"2019-06-30","2019-10-05",2,1,2,2,2,"2019-06-30"
"0674-004","0524-003",1221,"206073150115","20607315",347.405945127397,442.6775502219,885.355100443801,3541.4204017752,200,206,20614,2,0,32,32,2,1,1,1,1,6,48,1,17,6,"2019-07-27","2019-10-05",2,1,1,1,2,"2019-07-27"
"0675-001","0525-001",1221,"206073150115","20607315",1526.33389952462,1770.7102008876,442.6775502219,3541.4204017752,100,102,10220,1,42,42,431,5,1,1,1,3,14,58,2,58,14,"2019-06-20","2019-10-12",2,1,2,2,2,"2019-06-20"
"0676-001","0526-001",1221,"206073150115","20607315",1485.11853989623,1770.7102008876,442.6775502219,3541.4204017752,200,206,20607,2,0,0,14,3,1,1,1,1,6,48,1,48,6,"2019-06-29","2019-09-16",1,1,2,2,2,"2019-06-29"
"0677-001","0527-001",1222,"206072600188","20607260",582.79321072782,793.304795541439,528.869863694293,793.304795541439,200,206,20607,2,0,0,0,4,2,2,1,1,6,17,1,91,6,"2019-07-08","2019-09-26",1,1,2,1,2,"2019-09-26"
"0678-001","0528-001",1222,"206072600188","20607260",1074.04655076034,793.304795541439,132.217465923573,793.304795541439,100,102,10201,2,0,0,459,4,2,2,1,1,14,58,1,58,14,"2019-06-17","2019-10-04",2,1,1,2,2,"2019-10-04"
"0679-001","0529-001",1223,"206073150286","20607315",702.600633621954,3565.59842328242,3565.59842328242,3565.59842328242,200,206,20607,2,0,0,0,3,1,1,1,1,6,54,1,54,6,"2019-06-27","2019-09-13",2,1,1,2,1,"2019-06-27"
"0679-002","0529-001",1223,"206073150286","20607315",4272.10158464153,3565.59842328242,3565.59842328242,3565.59842328242,200,206,20607,2,0,0,0,3,1,1,1,2,6,54,1,91,6,"2019-06-26","2019-09-13",2,1,2,2,2,"2019-06-26"
"0680-001","0530-001",1224,"206072600280","20607260",720.269311650443,833.868810448645,416.934405224322,833.868810448645,200,206,20607,2,0,0,0,4,2,2,1,1,6,54,1,54,6,"2019-07-14","2019-09-24",1,1,2,1,2,"2019-09-24"
"0681-001","0531-001",1225,"206073150322","20607315",18213.3556655879,2149.18861173551,2149.18861173551,4298.37722347102,200,201,20120,1,0,0,95,7,1,1,1,1,3,14,1,72,3,"2019-07-26","2019-10-17",2,1,2,1,2,"2019-07-26"
"0682-001","0532-001",1226,"206072600004","20607260",1552.43171160042,445.813172551436,891.626345102872,891.626345102872,200,206,20607,2,0,0,0,5,2,2,1,1,6,48,1,17,6,"2019-07-10","2019-09-24",2,1,2,2,2,"2019-09-24"
